scheme,fold,decile,probability_min,probability_max,observations,realized_wr,mean_r,pf
W2_trailing_18m,2018_2020,7,0.48540449142456055,0.5315818190574646,105808,0.3195694087403599,-0.32493609940671964,0.5325467094287131
W2_trailing_18m,2018_2020,8,0.5315821170806885,0.585409939289093,105808,0.31272682594888856,-0.328483232777201,0.5276196438104203
W2_trailing_18m,2018_2020,9,0.5854107141494751,0.6528917551040649,105808,0.30072395282020264,-0.34921812671470914,0.49835046610133515
W2_trailing_18m,2018_2020,10,0.6528934240341187,0.8914554119110107,105809,0.3000689922407357,-0.363654960429459,0.45926037513946694
W2_trailing_18m,2021_2022,1,0.08905576914548874,0.34608209133148193,70819,0.369406515200723,-0.245866921240797,0.6273596562468001
W2_trailing_18m,2021_2022,2,0.3460821509361267,0.3889021873474121,70820,0.3630330415136967,-0.26387605333237896,0.6038887004493846
W2_trailing_18m,2021_2022,3,0.3889022767543793,0.4187031686306,70820,0.360350183563965,-0.2688375925111566,0.5980084688221637
W2_trailing_18m,2021_2022,4,0.4187043309211731,0.4439891278743744,70819,0.3627698781400472,-0.262179362905332,0.6062650179370589
W2_trailing_18m,2021_2022,5,0.4439891278743744,0.46786144375801086,70820,0.37013555492798644,-0.24269327415615996,0.6314096820936528
W2_trailing_18m,2021_2022,6,0.46786198019981384,0.49180057644844055,70820,0.3666619598983338,-0.24395696418181645,0.6314668173723744
W2_trailing_18m,2021_2022,7,0.4918006360530853,0.5184451937675476,70819,0.35610500007060253,-0.2596502002231927,0.6140014182084461
W2_trailing_18m,2021_2022,8,0.5184457898139954,0.5501528382301331,70820,0.34781135272521885,-0.2671886729396665,0.6077194369673431
W2_trailing_18m,2021_2022,9,0.5501535534858704,0.5959843993186951,70820,0.34233267438576676,-0.27224339358801447,0.602850309363172
W2_trailing_18m,2021_2022,10,0.5959843993186951,0.9060209393501282,70820,0.3065377012143462,-0.3405991518004655,0.5255560598741829
W2_trailing_18m,2023_2024,1,0.150170236825943,0.30963650345802307,70801,0.39396336209940536,-0.1862961099906561,0.7063863962852777
W2_trailing_18m,2023_2024,2,0.30963706970214844,0.36127784848213196,70802,0.37888760204514,-0.21188802394279205,0.6743040803778075
W2_trailing_18m,2023_2024,3,0.36127814650535583,0.4015703499317169,70802,0.38039885878929974,-0.2077042947488634,0.6795587183776746
W2_trailing_18m,2023_2024,4,0.4015704095363617,0.4321582317352295,70802,0.3732521680178526,-0.19792477417714172,0.6985958401318442
W2_trailing_18m,2023_2024,5,0.432158499956131,0.4601845145225525,70802,0.3735063981243468,-0.1976760298167831,0.6988061916851496
W2_trailing_18m,2023_2024,6,0.46018531918525696,0.48839306831359863,70802,0.3802152481568317,-0.196763804127714,0.6963475239984767
W2_trailing_18m,2023_2024,7,0.48839306831359863,0.5166957378387451,70802,0.3921358153724471,-0.18534897491348676,0.707656981499943
W2_trailing_18m,2023_2024,8,0.5166959166526794,0.5462524890899658,70802,0.38960763820231065,-0.18856065291704502,0.7036393140283351
W2_trailing_18m,2023_2024,9,0.5462527275085449,0.5845249891281128,70802,0.37981977910228526,-0.20478853690853102,0.6827433959677124
W2_trailing_18m,2023_2024,10,0.5845263600349426,0.8425257802009583,70803,0.3866079120941203,-0.17662689630081488,0.722528361012342
W2_trailing_18m,pooled,1,0.04557822644710541,0.2711339294910431,247429,0.36271011077925386,-0.2844458139392344,0.5610907836325947
W2_trailing_18m,pooled,2,0.27113404870033264,0.3417338728904724,247430,0.37276805561168813,-0.2520726066090923,0.6111019266961123
W2_trailing_18m,pooled,3,0.3417339622974396,0.38906916975975037,247430,0.36738875641595603,-0.2597095151785696,0.6037881137270892
W2_trailing_18m,pooled,4,0.38906922936439514,0.42514848709106445,247429,0.36107731915014,-0.2600556384699873,0.6085091177309792
W2_trailing_18m,pooled,5,0.4251486361026764,0.4572352468967438,247430,0.3614436406256315,-0.25028530968452467,0.623223290380904
W2_trailing_18m,pooled,6,0.4572354555130005,0.4887399971485138,247430,0.36078082690053753,-0.25082663733850036,0.6225173248436866
W2_trailing_18m,pooled,7,0.4887399971485138,0.5218686461448669,247429,0.3572742079546052,-0.25400668024080975,0.6188062345928963
W2_trailing_18m,pooled,8,0.5218686461448669,0.5601963400840759,247430,0.3517196782928505,-0.2583839232203463,0.6144347179611892
W2_trailing_18m,pooled,9,0.5601963996887207,0.6152303218841553,247430,0.33788950410217033,-0.27930393403983345,0.5889448058033648
W2_trailing_18m,pooled,10,0.6152307391166687,0.9060209393501282,247430,0.31157903245362323,-0.33295128508735006,0.5124412112273142
W3_trailing_12m,2018_2020,1,0.052473004907369614,0.21695131063461304,105807,0.3222187567930288,-0.34551661756930163,0.49652307599873324
W3_trailing_12m,2018_2020,2,0.21695131063461304,0.29340165853500366,105808,0.334521019204597,-0.3208522821196812,0.5229337187740749
W3_trailing_12m,2018_2020,3,0.2934018075466156,0.35571005940437317,105808,0.33742250113412975,-0.32658777206554973,0.5172105102187539
W3_trailing_12m,2018_2020,4,0.35571038722991943,0.40748223662376404,105808,0.3464766369272645,-0.30736927828728694,0.540367092129201
W3_trailing_12m,2018_2020,5,0.40748369693756104,0.452005535364151,105808,0.34728942991078177,-0.3106269582611142,0.5327902342860081
W3_trailing_12m,2018_2020,6,0.45200562477111816,0.4929538667201996,105808,0.34264894903977017,-0.3147413776309223,0.5298870560343946
W3_trailing_12m,2018_2020,7,0.4929548501968384,0.533733069896698,105808,0.34613639800393164,-0.2911653319918244,0.561382203769998
W3_trailing_12m,2018_2020,8,0.5337340235710144,0.5772206783294678,105808,0.3366286103130198,-0.3004982774682958,0.5518352247144005
W3_trailing_12m,2018_2020,9,0.5772207379341125,0.6342437863349915,105808,0.32887872372599425,-0.31620309100957117,0.5290021441226265
W3_trailing_12m,2018_2020,10,0.6342447996139526,0.8874486088752747,105809,0.31218516383294426,-0.3459415603300592,0.4822374716047092
W3_trailing_12m,2021_2022,1,0.0625963881611824,0.35457006096839905,70819,0.3433118230983211,-0.26970676859717524,0.6072351899283777
W3_trailing_12m,2021_2022,2,0.35457006096839905,0.40168100595474243,70820,0.35237221123976276,-0.26700250631890854,0.6058149060209146
W3_trailing_12m,2021_2022,3,0.4016813337802887,0.432912141084671,70820,0.3595876870940412,-0.26158320060936086,0.6093842209403837
W3_trailing_12m,2021_2022,4,0.43291231989860535,0.4590757191181183,70819,0.35703695335997404,-0.2686634580836573,0.6002387013392106
W3_trailing_12m,2021_2022,5,0.4590757191181183,0.4836066961288452,70820,0.3635413724936459,-0.2551463293271959,0.6159548449662708
W3_trailing_12m,2021_2022,6,0.48360708355903625,0.5078672766685486,70820,0.3651369669584863,-0.25300859898855477,0.6184180758357326
W3_trailing_12m,2021_2022,7,0.5078673362731934,0.5344057679176331,70819,0.35863257035541307,-0.2658552287090915,0.6028372210844631
W3_trailing_12m,2021_2022,8,0.5344058871269226,0.5655166506767273,70820,0.3561140920643886,-0.265838997192504,0.6039856065714315
W3_trailing_12m,2021_2022,9,0.5655169486999512,0.611315131187439,70820,0.3510590228748941,-0.2705539824338017,0.5999242883587296
W3_trailing_12m,2021_2022,10,0.611315906047821,0.8721631169319153,70820,0.3383507483761649,-0.28973303241894244,0.5789166669583269
W3_trailing_12m,2023_2024,1,0.08073746412992477,0.2968369424343109,70801,0.36887897063600794,-0.20955529851801388,0.6829622050262667
W3_trailing_12m,2023_2024,2,0.29683759808540344,0.3493523895740509,70802,0.38083669952826193,-0.19546541224817648,0.6983283177633968
W3_trailing_12m,2023_2024,3,0.3493523895740509,0.38549908995628357,70802,0.3693680969464139,-0.20906345094376524,0.6836255920370514
W3_trailing_12m,2023_2024,4,0.38549914956092834,0.4183153510093689,70802,0.36188243269964127,-0.22397302782519807,0.6652810433632609
W3_trailing_12m,2023_2024,5,0.4183158278465271,0.44941475987434387,70802,0.38179712437501767,-0.1865474177574988,0.7114731948542893
W3_trailing_12m,2023_2024,6,0.4494151473045349,0.4791933298110962,70802,0.39013022231010425,-0.18515355136488118,0.7092679631169354
W3_trailing_12m,2023_2024,7,0.4791935086250305,0.50754714012146,70802,0.38816700093217704,-0.19776776692563539,0.6899026782368712
W3_trailing_12m,2023_2024,8,0.5075472593307495,0.5379709005355835,70802,0.3884494788282817,-0.19939140852116774,0.6873693279507471
W3_trailing_12m,2023_2024,9,0.5379710793495178,0.5796646475791931,70802,0.3900878506256885,-0.18861916882440785,0.7031421277669615
W3_trailing_12m,2023_2024,10,0.5796650648117065,0.8726048469543457,70803,0.40879623744756577,-0.15804218591390987,0.7423253436685502
W3_trailing_12m,pooled,1,0.052473004907369614,0.27225813269615173,247429,0.3367956060122298,-0.30366324455594035,0.5510641368833723
W3_trailing_12m,pooled,2,0.27225828170776367,0.3455234169960022,247430,0.35131552358242735,-0.27480808423752134,0.5901166604500727
W3_trailing_12m,pooled,3,0.3455236256122589,0.3924534022808075,247430,0.35537323687507577,-0.262311099845248,0.6080884636451952
W3_trailing_12m,pooled,4,0.39245352149009705,0.4300040304660797,247429,0.3573792886040036,-0.2619517834268337,0.6070311697339176
W3_trailing_12m,pooled,5,0.43000420928001404,0.4630585312843323,247430,0.36369478236268843,-0.25417941249827963,0.614375179921232
W3_trailing_12m,pooled,6,0.463058739900589,0.49409717321395874,247430,0.3644465101240755,-0.2553132688122589,0.6120117753113905
W3_trailing_12m,pooled,7,0.49409717321395874,0.5255662202835083,247429,0.3650784669541565,-0.25169441733625725,0.6165093276484395
W3_trailing_12m,pooled,8,0.5255662202835083,0.5615286231040955,247430,0.3596976922766035,-0.2564355240589602,0.6116530987794749
W3_trailing_12m,pooled,9,0.5615290999412537,0.613059937953949,247430,0.3542456452329952,-0.26275581195807546,0.6031751056911063
W3_trailing_12m,pooled,10,0.6130602955818176,0.8874486088752747,247430,0.3366042921230247,-0.2989287730652641,0.5503926084420022
