scheme,fold,bucket_low,bucket_high,observations,predicted_mean,observed_positive_label_rate,absolute_calibration_error
W2_trailing_18m,2023_2024,0.30000000000000004,0.4,149546,0.35443396489333523,0.1036804728979712,0.250753491995364
W2_trailing_18m,2023_2024,0.4,0.5,244345,0.45097537931883375,0.14452106652479077,0.306454312794043
W2_trailing_18m,2023_2024,0.5,0.6000000000000001,204370,0.5440227599735333,0.17837745265939228,0.365645307314141
W2_trailing_18m,2023_2024,0.6000000000000001,0.7000000000000001,46306,0.6320874395869605,0.20727335550468623,0.4248140840822742
W2_trailing_18m,2023_2024,0.7000000000000001,0.8,3821,0.7287580007441036,0.2797696937974352,0.44898830694666836
W2_trailing_18m,2023_2024,0.8,0.9,68,0.8158085758195204,0.058823529411764705,0.7569850464077557
W2_trailing_18m,2023_2024,0.9,1.0,0,,,
W2_trailing_18m,pooled,0.0,0.1,5503,0.08624641120896845,0.14501181173905142,0.05876540053008297
W2_trailing_18m,pooled,0.1,0.2,91498,0.16209375922676422,0.16383964676823537,0.0017458875414711472
W2_trailing_18m,pooled,0.2,0.30000000000000004,235740,0.25542846266226105,0.13085602782726732,0.12457243483499372
W2_trailing_18m,pooled,0.30000000000000004,0.4,479377,0.35559838278194084,0.12129284467131297,0.23430553811062788
W2_trailing_18m,pooled,0.4,0.5,758741,0.45100262309812195,0.1498508713777165,0.3011517517204054
W2_trailing_18m,pooled,0.5,0.6000000000000001,601215,0.5447843223764839,0.1879909849221992,0.35679333745428465
W2_trailing_18m,pooled,0.6000000000000001,0.7000000000000001,235116,0.6409798676462443,0.22702410724918765,0.4139557603970566
W2_trailing_18m,pooled,0.7000000000000001,0.8,63258,0.7358660764421943,0.2863669417306902,0.44949913471150404
W2_trailing_18m,pooled,0.8,0.9,3847,0.8218881784552625,0.3231089160384715,0.498779262416791
W2_trailing_18m,pooled,0.9,1.0,2,0.9056329429149628,0.0,0.9056329429149628
W3_trailing_12m,2018_2020,0.0,0.1,3322,0.08902121511103517,0.11348585189644793,0.02446463678541276
W3_trailing_12m,2018_2020,0.1,0.2,79371,0.16246361660807293,0.17299769437199986,0.010534077763926925
W3_trailing_12m,2018_2020,0.2,0.30000000000000004,138933,0.250668981277088,0.17247882072653725,0.07819016055055072
W3_trailing_12m,2018_2020,0.30000000000000004,0.4,185087,0.3527741016132537,0.1575259202429128,0.1952481813703409
W3_trailing_12m,2018_2020,0.4,0.5,246315,0.4515280522545999,0.17741915839473846,0.2741088938598615
